Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curv,vel_crucero,curv_pred,control
L,0.07812833786010742,-4.0,10,0.0,-0.5204127435999766,0.018136368849256755,0,1.4373962972508378,-149.15664667815457,0,15.0,0.0,0
L,0.07782697677612305,-4.0,10,0.0,0.4466889334925004,0.08436348947359423,0,-1.4986731832796651,-256.0716813836974,0,15.0,0.0,0
L,0.07641363143920898,-4.0,10,0.0,-0.0506439992026837,-0.1203103378100706,0,-0.002804493304431388,406.4131773533908,0,15.0,0.0,0
L,0.07669258117675781,-4.0,10,0.0,-0.08047475854621733,-0.12004746744430818,0,0.09285960167865526,286.4022235115785,0,15.0,0.0,0
L,0.07813763618469238,-4.0,10,0.0,0.4699796790192401,0.15188130936799937,0,-1.5952268121911208,-519.4616116211703,0,15.0,0.0,0
L,0.08023881912231445,-4.0,10,0.0,0.026010036936461756,0.1102569261285563,0,-0.26540490059189537,-236.0909319693407,0,15.0,0.0,0
L,0.07802248001098633,-4.0,10,0.0,0.6793513906517665,-0.12226685599794614,0,-2.278433642035373,419.57220946806046,0,15.0,0.0,0
L,0.0767972469329834,-4.0,10,0.0,-0.48083987048084254,-0.12704404215531748,0,1.2390673196309954,297.95082634075254,0,15.0,0.0,0
L,0.07665133476257324,-4.0,10,0.0,-0.026576852907538306,0.13801088281286808,0,-0.12168458183976599,-490.97134717499637,0,15.0,0.0,0
L,0.0782017707824707,-4.0,10,0.0,-0.005315370581507661,0.10459487474672174,0,-0.18505335742601897,-227.83302023035648,0,15.0,0.0,0
L,0.0783989429473877,-3.2,10,0.0,0.47223424722367957,-0.12221442151442675,0,-1.6547248766474725,416.8448219677652,0,15.0,0.0,0
L,0.07874798774719238,-3.2,10,0.0,-0.73727199808916,-0.12710435289399596,0,2.0318525455629195,301.81101262613095,0,15.0,0.0,0
L,0.07871198654174805,-3.2,10,0.0,-0.1474543996178328,0.14171796426367206,0,0.2740061788671782,-494.67235875692734,0,15.0,0.0,0
L,0.07841134071350098,-4.0,10,0.0,0.038319704977731295,0.2111158412025468,0,-0.28632083436256384,-556.1475753615526,0,15.0,0.0,0
L,0.0771026611328125,-4.0,10,0.0,0.48608942328885285,-0.12438825874999572,0,-1.667108777380013,472.2052325365037,0,15.0,0.0,0
L,0.07705354690551758,-4.0,10,0.0,-1.366861370407328,-0.17160803464857755,0,3.9970651204265506,401.83370663750617,0,15.0,0.0,0
L,0.07691383361816406,-4.0,10,0.0,0.004515356857868857,0.00735441824563304,0,0,0,0,15.0,0.0,0
L,0.0769202709197998,-4.0,10,0.0,0.5619044540813265,0.1501372700631778,0,-1.7289352050829574,-469.354580466065,0,15.0,0.0,0
L,0.07812047004699707,-4.0,10,0.0,0.6710599435580207,0.01908839657302163,0,-2.1088251917335037,3.795504797781433,0,15.0,0.0,0
L,0.07994890213012695,-4.0,10,0.0,0.5387994235600648,-0.1208254258038868,0,-1.7551200541216088,331.4435835352585,0,15.0,0.0,0
L,0.07759380340576172,-4.0,10,0.0,-0.7701355896996531,-0.111802801249044,0,2.2314427352004804,240.45750752663656,0,15.0,0.0,0
L,0.07671952247619629,-4.0,10,0.0,0.12422506914794784,0.16142325579734843,0,-0.46116972932692546,-568.4289821704033,0,15.0,0.0,0
L,0.07683277130126953,-4.0,10,0.0,0.024845013829589035,0.10879838372552243,0,-0.16493847463739475,-246.01858776847916,0,15.0,0.0,0
L,0.07729721069335938,-1.5,10,0.0,0.84011391500376,-0.12364327390847214,0,-2.675683640454376,401.20378636630795,0,15.0,0.0,0
L,0.07688570022583008,-4.0,10,0.0,-0.6652121527688912,-0.13458144077904544,0,1.8914398650279454,297.7523418556829,0,15.0,0.0,0
L,0.0795583724975586,-4.0,10,0.0,0.00611880428324918,0.12642691805029038,0,-0.12303980823888218,-474.9056424732888,0,15.0,0.0,0
L,0.0789346694946289,-4.0,10,0.0,0.2031852868696955,0.002386992255623697,0,0,0,0,15.0,0.0,0
L,0.07855081558227539,-4.0,10,0.0,0.10847085657028321,0.0671628602599566,0,-0.3339330439613534,-209.36782021774775,0,15.0,0.0,0
L,0.0768899917602539,-4.0,10,0.0,-0.9378772396577184,-0.1345117384354303,0,2.8772246179520633,449.1984420203614,0,15.0,0.0,0
L,0.07760238647460938,-4.0,10,0.0,-0.2571929497036076,-0.009058680886763525,0,0,0,0,15.0,0.0,0
L,0.07780766487121582,-4.0,10,0.0,-0.18859263267982795,0.08145955169067731,0,0.5804518504002162,-254.25698983952392,0,15.0,0.0,0
L,0.0776059627532959,-4.0,10,0.0,1.2061195670112776,0.09335166965671503,0,-3.697286818866599,-257.0202760399076,0,15.0,0.0,0
L,0.07978606224060059,-4.0,10,0.0,0.7922053067227073,-0.12255054389266952,0,-2.5187509799104,390.33944421688057,0,15.0,0.0,0
L,0.08054757118225098,-4.0,10,0.0,-0.9030342074591391,-0.12414625137071933,0,2.6397047747404616,277.3572104076426,0,15.0,0.0,0
L,0.07935714721679688,-4.0,10,0.0,-0.18060684149182782,0.14957168957646796,0,0.4867551205471555,-531.6318850339762,0,15.0,0.0,0
L,0.07745027542114258,-4.0,10,0.0,-0.10488690393105182,0.2123348988674837,0,0.2677188274623584,-572.8332082691963,0,15.0,0.0,0
L,0.0773003101348877,-4.0,10,0.0,1.0850455793536324,0.05855137987090753,0,-3.385952982186219,-117.64551020302974,0,15.0,0.0,0
L,0.07625412940979004,-4.0,10,0.0,-0.7653837542074458,-0.3701451663855019,0,2.2236986903385008,1023,0,15.0,0.0,0
L,0.0759589672088623,-4.0,10,0.0,-0.29426287023409703,-0.153384450496742,0,0.8326879421293523,195.08315447523202,0,15.0,0.0,0
L,0.07887959480285645,-4.0,10,0.0,1.6336882437946993,0.15255007220967653,0,-5.080030066661753,-532.4254741023428,0,15.0,0.0,0
L,0.08044981956481934,-4.0,10,0.0,1.3835849871988959,0.10885337915599688,0,-4.441029459447087,-219.14035474864082,0,15.0,0.0,0
L,0.07816529273986816,-4.0,10,0.0,0.9514886501357567,-0.12418092789256112,0,-3.2191138371341923,436.8969463250505,0,15.0,0.0,0
L,0.07766532897949219,-4.0,10,0.0,-0.49716927344174744,-0.12930898039841102,0,1.1654727487786685,317.42932349737833,0,15.0,0.0,0
L,0.07854771614074707,-4.0,10,0.0,0.03622478132575946,0.15245523867256686,0,-0.4375547893646886,-519.17867616447,0,15.0,0.0,0
L,0.07595419883728027,-4.0,10,0.0,0.07723346377864893,0.1092812083572314,0,-0.5664470425880924,-220.84659211838925,0,15.0,0.0,0
L,0.07710027694702148,-4.0,10,0.0,0.651686935360007,-0.12242960480752658,0,-2.340052700531179,431.26587518793553,0,15.0,0.0,0
L,0.07884621620178223,-4.0,10,0.0,-0.14237857955781763,-0.12419869399504252,0,0.053369856488613365,299.8979218297526,0,15.0,0.0,0
L,0.07921862602233887,-4.0,10,0.0,0.03874302540289154,0.1622327761396955,0,-0.4930641276338798,-549.0871284748278,0,15.0,0.0,0
L,0.07824969291687012,-4.0,10,0.0,-0.19431770555804562,0.11011331724432454,0,0.22132336603715952,-226.71523309465357,0,15.0,0.0,0
L,0.08753156661987305,-4.0,10,0.0,0.6120896217558824,0.07038311359677675,0,-2.2514757794086826,-187.7083905336998,0,15.0,0.0,0
L,0.08316421508789062,-4.0,10,0.0,-0.7736687086044567,-0.14656605506134074,0,1.9701407625614864,430.32798083873166,0,15.0,0.0,0
L,0.07729578018188477,-4.0,10,0.0,-0.15473374172089294,-0.02437238896761843,0,0.12529612719757383,-56.95441745024502,0,15.0,0.0,0
L,0.07767677307128906,-4.0,10,0.0,-0.4438064124090455,0.07259029423891697,0,1.0269875892463118,-256.2989503295705,0,15.0,0.0,0
L,0.08000779151916504,-4.0,10,0.0,-0.01966740950027157,0.06511204154606205,0,-0.24385587348099014,-184.2798716414534,0,15.0,0.0,0
L,0.07888936996459961,-4.0,10,0.0,-0.24213935259710961,-0.02358154809515486,0,0.48524614254532833,-45.56324250253063,0,15.0,0.0,0
L,0.07666945457458496,-4.0,10,0.0,-0.527852807529162,0.07412292889570327,0,1.3828566941904097,-249.0643382662108,0,15.0,0.0,0
L,0.07727909088134766,-4.0,10,0.0,-0.105570561505832,0.06741774314798395,0,0.1241683531374238,-177.43134167478942,0,15.0,0.0,0
L,0.07784700393676758,-4.0,10,0.0,-0.5713891622398037,-0.012576407728221183,0,0,0,0,15.0,0.0,0
L,0.07789373397827148,-4.0,10,0.0,-0.2533692306713944,-0.07107923685019783,0,0.7798435674663801,221.8242238257226,0,15.0,0.0,0
L,0.07995390892028809,-4.0,10,0.0,-0.05067384613427861,-0.07093248226134163,0,0.17580898593349353,192.1906388988642,0,15.0,0.0,0
L,0.07966375350952148,-4.0,10,0.0,0.12284959617876234,0.014171328762632397,0,0,0,0,15.0,0.0,0
L,0.07726621627807617,-4.0,10,0.0,0.9771265051973512,0.07670072312293126,0,-3.0068783834736728,-239.6310064190899,0,15.0,0.0,0
L,0.07774496078491211,-4.0,10,0.0,0.8173614710824815,-0.12393285564440681,0,-2.5911290166454695,419.3950298582916,0,15.0,0.0,0
L,0.077392578125,-4.0,10,0.0,-0.5279507483296038,-0.1254321900769432,0,1.4856671111270374,312.4001204658871,0,15.0,0.0,0
L,0.0777730941772461,-4.0,10,0.0,-0.4498328179253377,0.15486062979476964,0,1.2862982100267626,-519.7847730764463,0,15.0,0.0,0
L,0.07726860046386719,-4.0,10,0.0,-0.2994174631562041,0.21912494188305082,0,0.8581877140518832,-558.1681486251342,0,15.0,0.0,0
L,0.07903289794921875,-4.0,10,0.0,0.767044949884494,0.06776800793134727,0,-2.4018213103168957,-114.74704392502893,0,15.0,0.0,0
L,0.07836651802062988,-4.0,10,0.0,-0.2542928934211206,-0.3639831628079776,0,0.6821202682147522,1023,0,15.0,0.0,0
L,0.07747864723205566,-4.0,10,0.0,-0.050858578684223055,-0.142104840034704,0,0.0757577778806583,196.17158966533313,0,15.0,0.0,0
L,0.0777580738067627,-4.0,10,0.0,1.3587173158984287,0.1682529513335556,0,-4.258621147199453,-551.073037081572,0,15.0,0.0,0
L,0.07724118232727051,-4.0,10,0.0,1.243161107274367,0.11540541233640075,0,-4.007975755076419,-204.9603317008844,0,15.0,0.0,0
L,0.07758760452270508,-4.0,10,0.0,1.1414263707201997,-0.12318773415754024,0,-3.791332083257143,458.6936382448056,0,15.0,0.0,0
L,0.07852935791015625,-4.0,10,0.0,-0.5293187615041646,-0.1245394365147466,0,1.262470375886671,321.9311043702666,0,15.0,0.0,0
L,0.07859516143798828,-4.0,10,0.0,0.03283947077205318,0.16636496118894836,0,-0.4265853444488497,-541.8282142202729,0,15.0,0.0,0
L,0.07814645767211914,-3.7,10,0.0,-0.3344505782906255,0.11537318962644703,0,0.7014209306989905,-219.18767431392715,0,15.0,0.0,0
L,0.07697677612304688,-3.7,10,0.0,0.47769695121300915,0.08059005807215362,0,-1.7717932290800993,-189.57645543707883,0,15.0,0.0,0
L,0.07708883285522461,-3.7,10,0.0,-0.46192291734008073,-0.13115552641778036,0,1.0826754751459975,417.1070430653597,0,15.0,0.0,0
L,0.07622790336608887,-4.0,10,0.0,-0.5847449621068685,-0.0011761483190852319,0,0,0,0,15.0,0.0,0
L,0.07616066932678223,-4.0,10,0.0,-0.25779398791634334,0.08060110480563355,0,0.7930157264171591,-252.32427451111073,0,15.0,0.0,0
L,0.07690691947937012,-4.0,10,0.0,1.007813836403877,0.08905619061608827,0,-3.0813156041100096,-243.15325487781786,0,15.0,0.0,0
L,0.08118772506713867,-4.0,10,0.0,0.20156276728077505,-0.1243379591039288,0,-0.6789268192744673,393.36186542280825,0,15.0,0.0,0
L,0.08017301559448242,-4.0,10,0.0,-0.7311559551795659,-0.12874576379687527,0,2.1778483259031653,294.22066057364833,0,15.0,0.0,0
L,0.07806563377380371,-4.0,10,0.0,-0.2808433234621368,0.14216728278070445,0,0.8488346427880914,-509.0663007866598,0,15.0,0.0,0
L,0.07802009582519531,-4.0,10,0.0,0.012082633178891466,0.21272878246080845,0,-0.030885915333431248,-570.9209930893917,0,15.0,0.0,0
L,0.07809114456176758,-4.0,10,0.0,0.34586571958551016,-0.12498741328471896,0,-1.0592442244603992,462.17582349128895,0,15.0,0.0,0
L,0.07796311378479004,-4.0,10,0.0,-1.024609095090308,-0.32644511927046665,0,3.1320619350325116,875.1815880929703,0,15.0,0.0,0
